timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703110672387,154,Trending-1,301,Moved Permanently,Users 1-1,text,true,,1676,125,5,5,https://www.youtube.com/trending,154,0,0
1703110672541,1247,Trending-2,200,OK,Users 1-1,text,true,,1252704,130,5,5,https://www.youtube.com/feed/trending,299,0,0
1703110673222,1338,HomePage,200,OK,Users 1-5,text,true,,848100,234,5,5,https://www.youtube.com/,189,0,0
1703110673222,189,HomePage-0,301,Moved Permanently,Users 1-5,text,true,,377,117,5,5,http://www.youtube.com/,189,0,0
1703110673411,1149,HomePage-1,200,OK,Users 1-5,text,true,,847723,117,5,5,https://www.youtube.com/,211,0,0
1703110673799,986,Music,200,OK,Users 1-1,text,true,,686284,298,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,115,0,0
1703110673799,115,Music-0,301,Moved Permanently,Users 1-1,text,true,,409,149,5,5,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,115,0,0
1703110673914,871,Music-1,200,OK,Users 1-1,text,true,,685875,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,146,0,0
1703110673050,1873,Trending,200,OK,Users 1-3,text,true,,1254120,380,4,4,https://www.youtube.com/feed/trending,385,0,0
1703110673050,385,Trending-0,301,Moved Permanently,Users 1-3,text,true,,385,125,4,4,http://www.youtube.com/trending,385,0,0
1703110673435,159,Trending-1,301,Moved Permanently,Users 1-3,text,true,,1676,125,4,4,https://www.youtube.com/trending,159,0,0
1703110673594,1329,Trending-2,200,OK,Users 1-3,text,true,,1252059,130,4,4,https://www.youtube.com/feed/trending,165,0,0
1703110673784,1294,Music,200,OK,Users 1-4,text,true,,686450,298,4,4,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,134,0,0
1703110673784,134,Music-0,301,Moved Permanently,Users 1-4,text,true,,409,149,4,4,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,134,0,0
1703110673919,1159,Music-1,200,OK,Users 1-4,text,true,,686041,149,4,4,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,164,0,0
1703110673666,1715,Trending,200,OK,Users 1-2,text,true,,1254134,380,3,3,https://www.youtube.com/feed/trending,132,0,0
1703110673666,132,Trending-0,301,Moved Permanently,Users 1-2,text,true,,385,125,3,3,http://www.youtube.com/trending,132,0,0
1703110673798,123,Trending-1,301,Moved Permanently,Users 1-2,text,true,,1676,125,3,3,https://www.youtube.com/trending,123,0,0
1703110673921,1460,Trending-2,200,OK,Users 1-2,text,true,,1252073,130,3,3,https://www.youtube.com/feed/trending,148,0,0
1703110674929,944,Music,200,OK,Users 1-3,text,true,,685912,298,3,3,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,134,0,0
1703110674929,134,Music-0,301,Moved Permanently,Users 1-3,text,true,,409,149,3,3,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,134,0,0
1703110675063,810,Music-1,200,OK,Users 1-3,text,true,,685503,149,3,3,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,166,0,0
1703110675387,709,Music,200,OK,Users 1-2,text,true,,685457,298,2,2,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,118,0,0
1703110675387,118,Music-0,301,Moved Permanently,Users 1-2,text,true,,409,149,2,2,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,118,0,0
1703110675505,591,Music-1,200,OK,Users 1-2,text,true,,685048,149,2,2,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,153,0,0
1703110674566,1537,Trending,200,OK,Users 1-5,text,true,,1255525,380,1,1,https://www.youtube.com/feed/trending,119,0,0
1703110674566,119,Trending-0,301,Moved Permanently,Users 1-5,text,true,,385,125,1,1,http://www.youtube.com/trending,119,0,0
1703110674685,131,Trending-1,301,Moved Permanently,Users 1-5,text,true,,1676,125,1,1,https://www.youtube.com/trending,131,0,0
1703110674816,1287,Trending-2,200,OK,Users 1-5,text,true,,1253464,130,1,1,https://www.youtube.com/feed/trending,161,0,0
1703110676108,558,Music,200,OK,Users 1-5,text,true,,686152,298,1,1,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,113,0,0
1703110676108,113,Music-0,301,Moved Permanently,Users 1-5,text,true,,409,149,1,1,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,113,0,0
1703110676221,445,Music-1,200,OK,Users 1-5,text,true,,685743,149,1,1,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,140,0,0
